seq,ts,kind,book,decl_sha,prev_hash,row_hash,symbol,occ,side,arm,order_type,qty,quote_bid,quote_ask,quote_mid,limit_price,fill_price,submitted_ts,filled_ts,time_to_fill_s,fate,fallback,venue,refusal_code,detail,structure_id,leg_index,net_cost,skip_reason
00000001,2026-08-25T05:28:19,selfcheck,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,4f78d477f83bfebcf640667c2da138dd026f5f92b133bf1ed6f3a99f60b67421,,,,,,,,,,,,,,,pass,,,,2979fcf7753b60af29b4cf0403265cab52c89e381ebbd4344a53bb9355cbcc0c,,,,
00000002,2026-08-26T23:46:05,selfcheck,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,4f78d477f83bfebcf640667c2da138dd026f5f92b133bf1ed6f3a99f60b67421,8691c7626b12d62bf42090899a2f28effb0fe6334d80792ecc204983be84711b,,,,,,,,,,,,,,,pass,,,,6f0f61496395c533cf4314c0e5bb15871c20cfc57d376a2cc07defd082200bdf,,,,
00000003,2026-08-26T23:47:11,fill,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,8691c7626b12d62bf42090899a2f28effb0fe6334d80792ecc204983be84711b,0539163beb932df5988fee2c064c8b46686f3b5e4d23f665fce904da6ee7e4be,NKE,NKE261016P00032500,buy_to_open,B,market,1,0.46,0.48,0.47,0.47,,2026-08-26T23:47:07,,,working,B-fallback,,,"Tradier sandbox quotes are delayed ~15 minutes and fills are simulated against them, so a measured cost BELOW the model is the direction the measurement error already points and is weak evidence; a measured cost ABOVE the model runs against the bias.",,,,
00000004,2026-08-26T23:47:11,fill,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,0539163beb932df5988fee2c064c8b46686f3b5e4d23f665fce904da6ee7e4be,52b44398966790d08fbea6401282272cb09ff570164f5e6779807d7c18c0ff21,LOW,LOW261016P00180000,buy_to_open,A,market,1,0.35,1.2,0.775,,,2026-08-26T23:47:09,,,working,,,,"Tradier sandbox quotes are delayed ~15 minutes and fills are simulated against them, so a measured cost BELOW the model is the direction the measurement error already points and is weak evidence; a measured cost ABOVE the model runs against the bias.",,,,
00000005,2026-08-26T23:47:11,fill,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,52b44398966790d08fbea6401282272cb09ff570164f5e6779807d7c18c0ff21,1cad5ec44576be29f2fcc29915494da115cc6144bb6f944e7b1e9ef2f158e310,ADP,ADP261016P00240000,buy_to_open,A,market,1,1.1,1.9,1.5,,,2026-08-26T23:47:10,,,working,,,,"Tradier sandbox quotes are delayed ~15 minutes and fills are simulated against them, so a measured cost BELOW the model is the direction the measurement error already points and is weak evidence; a measured cost ABOVE the model runs against the bias.",,,,
00000006,2026-08-26T23:49:04,fill,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,1cad5ec44576be29f2fcc29915494da115cc6144bb6f944e7b1e9ef2f158e310,2169782f55368212e70d3c5c6caf25615de1a2c04b48f59d85683e4ee6c16106,NKE,NKE261016P00032500,buy_to_open,B,market,1,0.46,0.48,0.47,0.47,,2026-08-26T23:49:00,,,working,B-fallback,,,"Tradier sandbox quotes are delayed ~15 minutes and fills are simulated against them, so a measured cost BELOW the model is the direction the measurement error already points and is weak evidence; a measured cost ABOVE the model runs against the bias.",,,,
00000007,2026-08-26T23:49:04,fill,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,2169782f55368212e70d3c5c6caf25615de1a2c04b48f59d85683e4ee6c16106,a6dad2ea3ab4256230839ea4d6f70294d8eca72d1b72b9b4513a812ac4b592e3,LOW,LOW261016P00180000,buy_to_open,A,market,1,0.35,1.2,0.775,,,2026-08-26T23:49:02,,,working,,,,"Tradier sandbox quotes are delayed ~15 minutes and fills are simulated against them, so a measured cost BELOW the model is the direction the measurement error already points and is weak evidence; a measured cost ABOVE the model runs against the bias.",,,,
00000008,2026-08-26T23:49:04,fill,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,a6dad2ea3ab4256230839ea4d6f70294d8eca72d1b72b9b4513a812ac4b592e3,ae6516835fdcb406f1ff76106ebf094fed94e273591ab725d2afaa1b9494255e,ADP,ADP261016P00240000,buy_to_open,A,market,1,1.1,1.9,1.5,,,2026-08-26T23:49:03,,,working,,,,"Tradier sandbox quotes are delayed ~15 minutes and fills are simulated against them, so a measured cost BELOW the model is the direction the measurement error already points and is weak evidence; a measured cost ABOVE the model runs against the bias.",,,,
00000009,2026-08-27T03:22:16,fill,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,ae6516835fdcb406f1ff76106ebf094fed94e273591ab725d2afaa1b9494255e,1a28d82b9e608359c42bbedb0d92f6ff42f642dc1b895d3d6fa70e6872ca9f87,NKE,NKE261016P00032500,buy_to_open,B,market,1,0.46,0.48,0.47,0.47,,2026-08-27T03:20:10,,,working,B-fallback,,,"Tradier sandbox quotes are delayed ~15 minutes and fills are simulated against them, so a measured cost BELOW the model is the direction the measurement error already points and is weak evidence; a measured cost ABOVE the model runs against the bias.",,,,
00000010,2026-08-27T03:22:16,fill,f3_bear_puts,c10a70e074ccbc31ad2b412fb08bf00e06cdc45a0987d726be674ac1db6129e8,1a28d82b9e608359c42bbedb0d92f6ff42f642dc1b895d3d6fa70e6872ca9f87,c01e1d11bbcb5b4a9e46573d4387d59c870b9b1c3b4a93fd5a3581922a1db3a8,LOW,LOW261016P00180000,buy_to_open,B,market,1,0.35,1.2,0.775,0.775,,2026-08-27T03:21:12,,,working,B-fallback,,,"Tradier sandbox quotes are delayed ~15 minutes and fills are simulated against them, so a measured cost BELOW the model is the direction the measurement error already points and is weak evidence; a measured cost ABOVE the model runs against the bias.",,,,
