as_of,index_ret,bench_ret,active_ret,n_positions,n_priced,inception
2026-08-03,0.0172942154,0.0142430692,0.0030511461,10,10,2026-08-03
2026-08-04,0.0404483143,0.0325288141,0.0079195002,10,10,2026-08-03
2026-08-05,0.0322393165,0.0304673172,0.0017719993,10,10,2026-08-03
2026-08-07,0.0339379747,0.0351123784,-0.0011744037,10,10,2026-08-03
2026-08-10,0.0296904459,0.0348044925,-0.0051140466,10,10,2026-08-03
2026-08-11,0.0,0.0,0.0,78,78,2026-08-03
2026-08-12,0.0028730039,0.0014382633,0.0014347406,68,68,2026-08-03
2026-08-13,0.0071623006,0.0079586386,-0.000796338,67,67,2026-08-03
2026-08-14,0.0103557565,0.0057504468,0.0046053097,68,68,2026-08-03
2026-08-17,0.0068208126,0.0011479307,0.0056728819,68,68,2026-08-03
2026-08-18,0.0058392242,-0.005558401,0.0113976251,68,68,2026-08-03
2026-08-19,0.0010072526,-0.0034790813,0.004486334,68,68,2026-08-03
2026-08-20,-0.0039192537,-0.0118497223,0.0079304686,68,68,2026-08-03
2026-08-21,0.0042545949,-0.0075243344,0.0117789294,68,68,2026-08-03
